id_art,id_commune,type_local,surfart,nb_piece,adPost
1,0,Appartement,52,2,190 A RUE CENTRALE
2,1,Appartement,48,3,347  RUE DU CHATEAU
21,1,Appartement,30,1,17  LOT LES JARDINS DE CHEVRY
81,1,Maison,118,5,77  RUE LA PIECE
133,1,Appartement,41,2,711  RUE DES MORAINES
3,2,Appartement,130,6,58  AV DU MONT BLANC
9,2,Maison,96,4,1403  RUE JEAN DE GINGINS
16,2,Appartement,88,4,44  ALL DU SQUARE DE LAUSANNE
87,2,Appartement,133,4,90  RUE DE LAUSANNE
91,2,Appartement,46,2,786  AV DES VOIRONS
126,2,Appartement,42,2,47  CHE DES ECOLIERS
138,2,Appartement,63,2,114  RUE DU CONTE DES PERMISSIONS
163,2,Appartement,63,3,28  CHE DU PEUDEX
170,2,Maison,96,5,644  RUE D ARBERE
172,2,Appartement,90,4,96  RUE DU JURA
174,2,Appartement,35,1,152  GR GRANDE RUE
4,3,Maison,109,5,140  RUE DE L'ABBE JOLIVET
11,3,Appartement,36,2,276  RTE DE POUGNY
5,4,Appartement,91,4,39  RUE BUFFON
15,4,Appartement,84,4,3  RUE TURENNE
63,4,Appartement,39,1,86  RUE DE LA REPUBLIQUE
71,4,Appartement,62,3,24  RUE LAMARTINE
86,4,Appartement,74,4,60  RUE DE SAVOIE
89,4,Appartement,63,3,198  RTE DE VOUVRAY
90,4,Appartement,100,4,198  RTE DE VOUVRAY
106,4,Appartement,83,4,392  RTE DE VOUVRAY
108,4,Appartement,69,3,8  RUE GEORGES MARIN
111,4,Appartement,88,4,54  RUE ANTOINE JACQUET
118,4,Appartement,56,2,1  RUE JOLIOT CURIE
131,4,Appartement,54,2,76  RUE COLONEL XAVIER RENDU
135,4,Appartement,69,3,35  RUE BUFFON
136,4,Appartement,56,2,20  RUE PARMENTIER
139,4,Appartement,60,3,38 B RUE JOSEPH MARION
151,4,Appartement,89,5,22  RUE DE L AVENIR
152,4,Appartement,40,1,7  RUE TURENNE
155,4,Appartement,68,3,6  RUE GEORGES MARIN
165,4,Appartement,59,2,1  ALL ALBERT CAMUS
6,5,Appartement,32,2,28  AV JEAN FALCONNIER
32,5,Appartement,50,3,4  RUE DE LA MAIRIE
122,5,Appartement,53,3,9  RUE DES FRERES SERPOLLET
7,6,Appartement,52,2,8  RUE DE GENEVE
8,6,Appartement,60,2,2  RUE DU RECULET
10,6,Maison,117,5,226  ALL DES CAPUCINES
26,6,Appartement,83,3,2  RUE DU JURA
30,6,Appartement,133,4,132  ALL DES HETRES
50,6,Appartement,112,5,10  RUE DES HAUTAINS
56,6,Appartement,31,1,2  RUE DE CHAMP FUSY
57,6,Appartement,166,5,53  ALL DES PRUNUS
77,6,Appartement,56,3,33  RUE DE GENEVE
104,6,Appartement,49,2,3 A RUE GEORGES CHARPAK
137,6,Appartement,131,5,461  RUE JEAN-JACQUES ROUSSEAU
142,6,Maison,101,5,34  RUE DES ECOLES
146,6,Appartement,58,2,16  RUE DES HAUTAINS
162,6,Appartement,133,4,181  RUE PARC JEAN MONNET
166,6,Appartement,112,5,10  RUE DES HAUTAINS
178,6,Appartement,166,5,53  ALL DES PRUNUS
12,7,Appartement,137,5,79  CRS DE VERDUN
