id_commune,libellé,cp_com,code_dep
0,SAINT-ETIENNE-DU-BOIS,1370.0,1
1,CHEVRY,1170.0,1
2,DIVONNE-LES-BAINS,1220.0,1
3,PERON,1630.0,1
4,VALSERHONE,1200.0,1
5,CULOZ,1350.0,1
6,ST-GENIS-POUILLY,1630.0,1
7,OYONNAX,1100.0,1
8,ST-GERMAIN-DE-JOUX,1130.0,1
9,GEX,1170.0,1
10,AMBERIEU-EN-BUGEY,1500.0,1
11,CESSY,1170.0,1
12,SAULT-BRENAZ,1150.0,1
13,FERNEY-VOLTAIRE,1210.0,1
14,SEGNY,1170.0,1
15,LAGNIEU,1150.0,1
16,LE POIZAT-LALLEYRIAT,1130.0,1
17,BELLEY,1300.0,1
18,ORNEX,1210.0,1
19,DORTAN,1590.0,1
20,PREVESSIN-MOENS,1280.0,1
21,BRENOD,1110.0,1
22,SAINT-JEAN-LE-VIEUX,1640.0,1
23,NANTUA,1130.0,1
24,SAINT-DENIS-EN-BUGEY,1500.0,1
25,THOIRY,1710.0,1
26,BELLIGNAT,1100.0,1
27,PLATEAU D'HAUTEVILLE,1110.0,1
28,LELEX,1410.0,1
29,VESANCY,1170.0,1
30,IZERNORE,1580.0,1
31,ECHENEVEX,1170.0,1
32,VERSONNEX,1210.0,1
33,SAINT-VULBAS,1150.0,1
34,COLLONGES,1550.0,1
35,CHAMPAGNE-EN-VALROMEY,1260.0,1
36,JUJURIEUX,1640.0,1
37,MATAFELON-GRANGES,1580.0,1
38,HAUT-VALROMEY,1260.0,1
39,ARBENT,1100.0,1
40,LOYETTES,1360.0,1
41,MIJOUX,1410.0,1
42,SERGY,1630.0,1
43,FARGES,1550.0,1
44,CROZET,1170.0,1
45,VILLARS-LES-DOMBES,1330.0,1
46,MEXIMIEUX,1800.0,1
47,MONTCEAUX,1090.0,1
48,MONTLUEL,1120.0,1
49,JASSANS-RIOTTIER,1480.0,1
50,BEAUREGARD,1480.0,1
51,DAGNEUX,1120.0,1
52,MIONNAY,1390.0,1
53,VILLIEU-LOYES-MOLLON,1800.0,1
54,CHAUNY,2300.0,2
55,LAON,2000.0,2
56,LA FERE,2800.0,2
57,URCEL,2000.0,2
58,SAINT GOBAIN,2410.0,2
59,TERGNIER,2700.0,2
60,FOLEMBRAY,2670.0,2
61,SAINT QUENTIN,2100.0,2
62,SOISSONS,2200.0,2
63,COURMELLES,2200.0,2
64,VIC SUR AISNE,2290.0,2
65,VILLERS-COTTERETS,2600.0,2
66,LARGNY SUR AUTOMNE,2600.0,2
67,NANTEUIL LA FOSSE,2880.0,2
68,VAILLY-SUR-AISNE,2370.0,2
69,COEUVRES ET VALSERY,2600.0,2
70,BELLEU,2200.0,2
71,CHATEAU THIERRY,2400.0,2
72,FERE EN TARDENOIS,2130.0,2
73,MOULINS,3000.0,3
74,YZEURE,3400.0,3
75,CUSSET,3300.0,3
76,VICHY,3200.0,3
77,SISTERON,4200.0,4
78,RIEZ,4500.0,4
79,ENCHASTRAYES,4400.0,4
80,CHATEAU-ARNOUX-SAINT-AUBAN,4160.0,4
81,DIGNE-LES-BAINS,4000.0,4
82,MONTCLAR,4140.0,4
83,ALLOS,4260.0,4
84,CASTELLANE,4120.0,4
85,JAUSIERS,4850.0,4
86,LE LAUZET UBAYE,4340.0,4
87,SEYNE,4140.0,4
88,SAINTE CROIX DU VERDON,4500.0,4
89,FAUCON-DE-BARCELONNETTE,4400.0,4
90,BARCELONNETTE,4400.0,4
91,GREOUX-LES-BAINS,4800.0,4
92,SAINT-MARTIN-DE-BROMES,4800.0,4
93,PEIPIN,4200.0,4
94,VOLX,4130.0,4
95,FORCALQUIER,4300.0,4
96,SELONNET,4140.0,4
97,MANOSQUE,4100.0,4
98,UVERNET-FOURS,4400.0,4
99,NOYERS-SUR-JABRON,4200.0,4
100,PIERRERUE,4300.0,4
101,ORAISON,4700.0,4
102,L ESCALE,4160.0,4
103,VILLENEUVE,4180.0,4
104,VALENSOLE,4210.0,4
105,VOLONNE,4290.0,4
106,SAINTE-TULLE,4220.0,4
107,SAINT-ETIENNE-LES-ORGUES,4230.0,4
108,DEMANDOLX,4120.0,4
109,BARREME,4330.0,4
110,LARAGNE-MONTEGLIN,5300.0,5
111,SAINT-MICHEL-DE-CHAILLOL,5260.0,5
112,MONTGARDIN,5230.0,5
113,VARS,5560.0,5
114,EMBRUN,5200.0,5
115,SAINT-SAUVEUR,5200.0,5
116,BRIANCON,5100.0,5
117,ORCIERES,5170.0,5
118,VALLOUISE-PELVOUX,5340.0,5
119,L'ARGENTIERE-LA-BESSEE,5120.0,5
120,GAP,5000.0,5
121,LE DEVOLUY,5250.0,5
122,LA CHAPELLE-EN-VALGAUDEMAR,5800.0,5
123,ABRIES-RISTOLAS,5460.0,5
124,LA SALLE,5240.0,5
125,VEYNES,5400.0,5
126,ANCELLE,5260.0,5
127,LES ORRES,5200.0,5
128,SERRES,5700.0,5
129,RISOUL,5600.0,5
130,CHORGES,5230.0,5
131,PUY SAINT VINCENT,5290.0,5
132,SAINT-BONNET-EN-CHAMPSAUR,5500.0,5
133,NEVACHE,5100.0,5
134,LE MONETIER-LES-BAINS,5220.0,5
135,LA BATIE NEUVE,5230.0,5
136,GUILLESTRE,5600.0,5
137,SAVINES-LE-LAC,5160.0,5
138,MONTGENEVRE,5100.0,5
139,LAYE,5500.0,5
140,PUY-SANIERES,5200.0,5
141,SAINT-CHAFFREY,5330.0,5
142,NICE,6000.0,6
143,NICE,6300.0,6
144,NICE,6100.0,6
145,SAINT-ANDRE DE LA ROCHE,6730.0,6
146,LA TRINITE,6340.0,6
147,FALICON,6950.0,6
148,NICE,6200.0,6
149,MENTON,6500.0,6
150,ROQUEBRUNE CAP MARTIN,6190.0,6
151,BEAUSOLEIL,6240.0,6
152,LA BRIGUE,6430.0,6
153,SAORGE,6540.0,6
154,TENDE,6430.0,6
155,SOSPEL,6380.0,6
156,CASTELLAR,6500.0,6
157,CASTILLON,6500.0,6
158,GORBIO,6500.0,6
159,MOULINET,6380.0,6
160,BREIL-SUR-ROYA,6540.0,6
161,SAINTE-AGNES,6500.0,6
162,VILLEFRANCHE-SUR-MER,6230.0,6
163,ISOLA,6420.0,6
164,PEONE,6470.0,6
165,VALDEBLORE,6420.0,6
166,BEAULIEU SUR MER,6310.0,6
167,PEILLON,6440.0,6
168,DRAP,6340.0,6
169,L'ESCARENE,6440.0,6
170,CAP-D AIL,6320.0,6
171,VILLARS-SUR-VAR,6710.0,6
172,SAINT-MARTIN-VESUBIE,6450.0,6
173,BENDEJUN,6390.0,6
174,SAINT-ETIENNE-DE-TINEE,6660.0,6
175,SAINT-MARTIN-DU-VAR,6670.0,6
176,CONTES,6390.0,6
177,LA TURBIE,6320.0,6
178,GUILLAUMES,6470.0,6
179,PEILLE,6440.0,6
180,EZE,6360.0,6
181,GILETTE,6830.0,6
182,ROQUEBILLIERE,6450.0,6
183,COLOMARS,6670.0,6
184,SAINT-JEAN-CAP-FERRAT,6230.0,6
185,LEVENS,6670.0,6
186,BEUIL,6470.0,6
187,BERRE-LES-ALPES,6390.0,6
188,TOUDON,6830.0,6
189,BLAUSASC,6440.0,6
190,BELVEDERE,6450.0,6
191,LUCERAM,6440.0,6
192,LANTOSQUE,6450.0,6
193,ASPREMONT,6790.0,6
194,LA BOLLENE-VESUBIE,6450.0,6
195,RIMPLAS,6420.0,6
196,CANTARON,6340.0,6
197,CLANS,6420.0,6
198,LA ROQUETTE SUR VAR,6670.0,6
199,UTELLE,6450.0,6
200,PUGET-THENIERS,6260.0,6
201,LE CANNET,6110.0,6
202,MOUANS-SARTOUX,6370.0,6
203,VALLAURIS,6220.0,6
204,ANTIBES,6600.0,6
205,ANTIBES,6160.0,6
206,LA ROQUETTE SUR SIAGNE,6550.0,6
207,MOUGINS,6250.0,6
208,BIOT,6410.0,6
209,CANNES,6400.0,6
210,CANNES,6150.0,6
211,MANDELIEU-LA-NAPOULE,6210.0,6
212,GRASSE,6130.0,6
213,PEGOMAS,6580.0,6
214,THEOULE-SUR-MER,6590.0,6
215,CARROS,6510.0,6
216,VENCE,6140.0,6
217,SAINT-CEZAIRE-SUR-SIAGNE,6530.0,6
218,LE BROC,6510.0,6
219,SAINT-VALLIER-DE-THIEY,6460.0,6
220,LA GAUDE,6610.0,6
221,LE BAR-SUR-LOUP,6620.0,6
222,VALBONNE,6560.0,6
223,GREOLIERES,6620.0,6
224,PEYMEINADE,6530.0,6
225,ANDON,6750.0,6
226,CAGNES SUR MER,6800.0,6
227,VILLENEUVE-LOUBET,6270.0,6
228,SAINT LAURENT DU VAR,6700.0,6
229,LA COLLE SUR LOUP,6480.0,6
230,SAINT-PAUL-DE-VENCE,6570.0,6
231,SAINT-JUST-D'ARDECHE,7700.0,7
232,VALS-LES-BAINS,7600.0,7
233,BOURG-SAINT-ANDEOL,7700.0,7
234,GRAVIERES,7140.0,7
235,SALAVAS,7150.0,7
236,AUBENAS,7200.0,7
237,LA-VOULTE-SUR-RHONE,7800.0,7
238,PRIVAS,7000.0,7
239,CHARMES-SUR-RHONE,7800.0,7
240,VALLON PONT D'ARC,7150.0,7
241,LABEGUDE,7200.0,7
242,RUOMS,7120.0,7
243,LANAS,7200.0,7
244,SAINT-SERNIN,7200.0,7
245,SAINT-GEORGES-LES-BAINS,7800.0,7
246,VIVIERS,7220.0,7
247,SAINT-MONTAN,7220.0,7
248,ST JULIEN EN ST ALBAN,7000.0,7
249,SAINT-MARTIN-D' ARDECHE,7700.0,7
250,TOURNON-SUR-RHONE,7300.0,7
251,SAINT-PERAY,7130.0,7
252,GUILHERAND-GRANGES,7500.0,7
253,ANNONAY,7100.0,7
254,SARRAS,7370.0,7
255,FELINES,7340.0,7
256,SAINT-JEAN-DE-MUZOLS,7300.0,7
257,DAVEZIEUX,7430.0,7
258,CHARLEVILLE-MEZIERES,8000.0,8
259,GIVET,8600.0,8
260,SAINT-LAURENT,8090.0,8
261,RETHEL,8300.0,8
262,SEDAN,8200.0,8
263,CARIGNAN,8110.0,8
264,BALAN,8200.0,8
265,BAZEILLES,8140.0,8
266,USTOU,9140.0,9
267,SAVERDUN,9700.0,9
268,FOIX,9000.0,9
269,SAINT-JEAN-DU-FALGA,9100.0,9
270,LUZENAC,9250.0,9
271,AX-LES-THERMES,9110.0,9
272,MIREPOIX,9500.0,9
273,LAVELANET,9300.0,9
274,PAMIERS,9100.0,9
275,DAUMAZAN-SUR-ARIZE,9350.0,9
276,SAINTE SAVINE,10300.0,10
277,ROSIERES PRES TROYES,10430.0,10
278,ROMILLY SUR SEINE,10100.0,10
279,SAINT JULIEN LES VILLAS,10800.0,10
280,SAINT ANDRE LES VERGERS,10120.0,10
281,TROYES,10000.0,10
282,TRAINEL,10400.0,10
283,LA CHAPELLE ST LUC,10600.0,10
284,BAR SUR AUBE,10200.0,10
285,PONTSAINTE MARIE,10150.0,10
286,NOGENT SUR SEINE,10400.0,10
287,LES NOES PRES TROYES,10420.0,10
288,COLOMBE LA FOSSE,10200.0,10
289,DIENVILLE,10500.0,10
290,CARCASSONNE,11000.0,11
291,CASTELNAUDARY,11400.0,11
292,PEXIORA,11150.0,11
293,TREBES,11800.0,11
294,LAVALETTE,11290.0,11
295,LIMOUX,11300.0,11
296,RENNES LES BAINS,11190.0,11
297,FITOU,11510.0,11
